system   D            wsystem.c:583  maybe_parent_dir                 [   0.00264] Also searching C:\Users\dpackard\Documents\GitHub\gammaeditor\RadMapEdit\
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [ 900.70879] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [1017.91943] removed dtor for object 0045CB48
dtor     D               dtor.c:214  _al_unregister_destructor        [1017.91954] removed dtor for object 0045C8D8
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [1017.91988] destroying display 0043EB98 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [1017.91995] converting display bitmap 0046FCF0 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [1017.92023] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [1017.92029] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [1017.92146] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [1017.92163] waiting for display 0043EB98's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [1017.93499] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [1017.97368] d3d display thread exits
dtor     D               dtor.c:114  _al_run_destructors              [1017.97457] calling dtor for object 0046A0C8, func 648D1B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [1017.97464] removed dtor for object 0046A0C8
